customer_state,total_orders,late_orders,avg_delay,avg_review,late_pct
AC,80,3,-20.72,4.09,3.75
AL,397,85,-8.71,3.86,21.41
AM,145,4,-19.57,4.24,2.76
AP,67,2,-19.69,4.24,2.99
BA,3256,396,-10.79,3.93,12.16
CE,1279,176,-10.8,3.94,13.76
DF,2080,118,-12.05,4.14,5.67
ES,1995,214,-10.5,4.08,10.73
GO,1957,128,-12.19,4.1,6.54
MA,717,125,-9.57,3.83,17.43
MG,11354,519,-13.24,4.19,4.57
MS,701,68,-11.05,4.16,9.7
MT,886,53,-14.36,4.15,5.98
PA,946,106,-14.07,3.91,11.21
PB,517,54,-13.26,4.08,10.44
PE,1593,153,-13.29,4.08,9.6
PI,476,66,-11.31,3.99,13.87
PR,4923,199,-13.31,4.24,4.04
RJ,12350,1495,-11.76,3.96,12.11
RN,474,44,-13.65,4.15,9.28
RO,243,7,-20.1,4.17,2.88
RR,41,5,-17.29,3.9,12.2
RS,5345,325,-13.91,4.19,6.08
SC,3546,291,-11.5,4.13,8.21
SE,335,51,-10.02,3.91,15.22
SP,40501,1820,-11.08,4.25,4.49
TO,274,27,-12.13,4.15,9.85
